Referência,Data,Título,Link,id,Preço
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 (Exynos) 5G Dual SIM 128 GB verde-lima 4 GB RAM,https://www.mercadolivre.com.br/samsung-galaxy-a14-exynos-5g-dual-sim-128-gb-verde-lima-4-gb-ram/p/MLB22096078?pdp_filters=category:MLB1055#searchVariation=MLB22096078&position=1&search_layout=stack&type=product&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3380804905,899.0
Samsung Galaxy A14 5g 128GB,27/10/23,"Smartphone Samsung Galaxy A14 5g, 128gb, 4gb Ram, Tela 6.6",https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a14-5g-128gb-4gb-ram-tela-66/p/MLB22432319?pdp_filters=category:MLB1055#searchVariation=MLB22432319&position=2&search_layout=stack&type=product&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB4145394534,1045.0
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 5g Tela 6.6 Octa Core 128gb/4gb Ram Preto,https://produto.mercadolivre.com.br/MLB-3504254580-samsung-galaxy-a14-5g-tela-66-octa-core-128gb4gb-ram-preto-_JM?searchVariation=177492200000#searchVariation=177492200000&position=14&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3504254580,1309.0
Samsung Galaxy A14 5g 128GB,27/10/23,Smartphone Samsung Galaxy A14 5g 128gb 4gb Ram - Prata,https://produto.mercadolivre.com.br/MLB-3461649801-smartphone-samsung-galaxy-a14-5g-128gb-4gb-ram-prata-_JM?searchVariation=180107045577#searchVariation=180107045577&position=15&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3461649801,1382.0
Samsung Galaxy A14 5g 128GB,27/10/23,Smartphone Samsung Galaxy A14 5g 128gb 4gb Ram - Preto,https://produto.mercadolivre.com.br/MLB-3264979155-smartphone-samsung-galaxy-a14-5g-128gb-4gb-ram-preto-_JM?searchVariation=177307444191#searchVariation=177307444191&position=16&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3264979155,1380.0
Samsung Galaxy A14 5g 128GB,27/10/23,Smartphone Samsung Galaxy A14 5g 128gb 4gb Ram - Preto,https://produto.mercadolivre.com.br/MLB-3344468010-smartphone-samsung-galaxy-a14-5g-128gb-4gb-ram-preto-_JM?searchVariation=177171568070#searchVariation=177171568070&position=17&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3344468010,1429.0
Samsung Galaxy A14 5g 128GB,27/10/23,Smartphone Samsung Galaxy A14 5g 128gb 4gb Ram - Prata,https://www.mercadolivre.com.br/smartphone-samsung-galaxy-a14-5g-128gb-4gb-ram-prata/p/MLB22753179?pdp_filters=category:MLB1055#searchVariation=MLB22753179&position=6&search_layout=stack&type=product&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3537780804,1239.0
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 5g Octa Core Tela 6.6 128gb/4gb Ram Preto,https://produto.mercadolivre.com.br/MLB-3504254660-samsung-galaxy-a14-5g-octa-core-tela-66-128gb4gb-ram-preto-_JM?searchVariation=177492200168#searchVariation=177492200168&position=18&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3504254660,1257.0
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 5g A146 128gb 4gb Ram 6.6'' 50 Mp Outlet,https://produto.mercadolivre.com.br/MLB-3390022057-samsung-galaxy-a14-5g-a146-128gb-4gb-ram-66-50-mp-outlet-_JM?searchVariation=178311384254#searchVariation=178311384254&position=19&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3390022057,1242.0
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 5g Tela 6.6 Octa Core 128gb/4gb Ram Preto,https://produto.mercadolivre.com.br/MLB-3504307226-samsung-galaxy-a14-5g-tela-66-octa-core-128gb4gb-ram-preto-_JM?searchVariation=177812430909#searchVariation=177812430909&position=20&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3504307226,1257.0
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 5g Octa Core Tela 6.6 128gb/4gb Ram Preto,https://produto.mercadolivre.com.br/MLB-3293904563-samsung-galaxy-a14-5g-octa-core-tela-66-128gb4gb-ram-preto-_JM?searchVariation=177492139794#searchVariation=177492139794&position=21&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3293904563,1347.0
Samsung Galaxy A14 5g 128GB,27/10/23,Smartphone Samsung Galaxy A14 5g 128gb 4gb Ram - Preto,https://produto.mercadolivre.com.br/MLB-4083932136-smartphone-samsung-galaxy-a14-5g-128gb-4gb-ram-preto-_JM?searchVariation=180104094529#searchVariation=180104094529&position=23&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB4083932136,1382.0
Samsung Galaxy A14 5g 128GB,27/10/23,Smartphone Samsung Galaxy A14 5g 128gb 4gb Ram - Prata,https://produto.mercadolivre.com.br/MLB-3344514408-smartphone-samsung-galaxy-a14-5g-128gb-4gb-ram-prata-_JM?searchVariation=177297727987#searchVariation=177297727987&position=24&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3344514408,1336.0
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 5g Tela 6.6 Octa Core 128gb/4gb Ram Preto,https://produto.mercadolivre.com.br/MLB-3436273705-samsung-galaxy-a14-5g-tela-66-octa-core-128gb4gb-ram-preto-_JM?searchVariation=178666574926#searchVariation=178666574926&position=25&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3436273705,1247.0
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 5g Tela 6.6 Octa Core 128gb/4gb Ram Preto,https://produto.mercadolivre.com.br/MLB-3504471202-samsung-galaxy-a14-5g-tela-66-octa-core-128gb4gb-ram-preto-_JM?searchVariation=177492002354#searchVariation=177492002354&position=27&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3504471202,1347.0
Samsung Galaxy A14 5g 128GB,27/10/23,Samsung Galaxy A14 5g Octa Core Tela 6.6 128gb/4gb Ram Preto,https://produto.mercadolivre.com.br/MLB-3293869317-samsung-galaxy-a14-5g-octa-core-tela-66-128gb4gb-ram-preto-_JM?searchVariation=177812231665#searchVariation=177812231665&position=28&search_layout=stack&type=item&tracking_id=d3873266-edf7-4959-96c9-3eb56c61dd88,MLB3293869317,1347.0
